rid,oid,ecf_class_id,starttime_utc,endtime_utc
6624ca7e-ad38-442d-b87f-f03b655b5565,858249874,XAEntity.Cycle.ProductionCycle.TruckCycle,2020-01-26 18:23:28.0,2020-01-26 18:43:21.0
206ea2a0-f419-4eb4-a46c-fec07276b1d3,858252255,XAEntity.Cycle.ProductionCycle.LoaderCycle,2020-01-26 18:41:14.0,2020-01-26 18:43:38.0
f0eae86c-9aba-49a1-bdaa-38bf2c7a3638,858250328,XAEntity.Cycle.ProductionCycle.TruckCycle,2020-01-26 18:27:15.0,2020-01-26 18:44:19.0
025836ac-df25-42db-85a3-bd85b0fd6839,858252416,XAEntity.Cycle.ProductionCycle.LoaderCycle,2020-01-26 18:40:12.0,2020-01-26 18:45:03.0
e6655fc4-0bc4-4146-90e1-d03dedb3f00f,858251677,XAEntity.Cycle.ProductionCycle.TruckCycle,2020-01-26 18:31:22.0,2020-01-26 18:46:00.0
d0338fc8-2295-448a-aff7-647b6d1c7998,858252793,XAEntity.Cycle.ProductionCycle.LoaderCycle,2020-01-26 18:43:38.0,2020-01-26 18:47:01.0
ddb52b18-8b1c-4e13-b1f9-dc8224d050c5,858253251,XAEntity.Cycle.ProductionCycle.LoaderCycle,2020-01-26 18:45:03.0,2020-01-26 18:49:00.0
24b355e2-6e81-4e3d-bec6-63b13f38b0ba,858251651,XAEntity.Cycle.ProductionCycle.TruckCycle,2020-01-26 18:31:18.0,2020-01-26 18:49:25.0
b0e39d2e-5836-4e99-ad0a-21d511794bac,858252356,XAEntity.Cycle.ProductionCycle.TruckCycle,2020-01-26 18:34:35.0,2020-01-26 18:49:42.0
75c3c690-678b-487f-8992-1866ec4ed456,858253409,XAEntity.Cycle.ProductionCycle.LoaderCycle,2020-01-26 18:47:01.0,2020-01-26 18:50:08.0
6d68f9c6-5c05-43f0-8a66-acac07cec7be,858252787,XAEntity.Cycle.ProductionCycle.TruckCycle,2020-01-26 18:36:59.0,2020-01-26 18:52:09.0
b80222b3-3e13-4dbb-835b-9abe1e3acf7f,858253825,XAEntity.Cycle.ProductionCycle.LoaderCycle,2020-01-26 18:49:00.0,2020-01-26 18:52:29.0
31d0f6a9-1861-4f33-a4f1-9446e8191634,858253868,XAEntity.Cycle.ProductionCycle.LoaderCycle,2020-01-26 18:50:08.0,2020-01-26 18:52:34.0
d98e12a3-7d9c-4194-9e23-b80d937c6791,858252710,XAEntity.Cycle.ProductionCycle.TruckCycle,2020-01-26 18:36:23.0,2020-01-26 18:54:27.0
1dd49d80-b9e5-4029-b662-c1be59e0345e,858254640,XAEntity.Cycle.ProductionCycle.LoaderCycle,2020-01-26 18:52:34.0,2020-01-26 18:55:09.0
fb7ff3ab-73e7-4d59-923f-f9daa070c7f9,858247053,XAEntity.Cycle.ProductionCycle.LoaderCycle,2020-01-26 18:02:18.0,2020-01-26 18:55:10.0
fb57d3db-b580-4915-a3ae-3165c9751c0a,858253086,XAEntity.Cycle.ProductionCycle.TruckCycle,2020-01-26 18:38:40.0,2020-01-26 18:55:48.0
3c3c5d40-9613-4eea-b298-e3762c79ff84,858255091,XAEntity.Cycle.AuxiliaryCycle.AuxMobileCycle.DrillCycle,2020-01-26 18:22:26.0,2020-01-26 18:56:23.0
da1918a6-801c-435b-9e7e-dbbb73bdf4ad,858253321,XAEntity.Cycle.ProductionCycle.TruckCycle,2020-01-26 18:39:26.0,2020-01-26 18:57:25.0
af31a5a7-f63c-4fa9-86fa-3e5ee2e6121c,858255473,XAEntity.Cycle.AuxiliaryCycle.AuxMobileCycle.DrillCycle,2020-01-26 18:31:23.0,2020-01-26 18:57:48.0
037f8ce0-7df2-409b-b44d-39dc5422bb85,858253690,XAEntity.Cycle.ProductionCycle.TruckCycle,2020-01-26 18:41:36.0,2020-01-26 18:58:53.0
b55aca1f-4ff2-4005-81fc-472d80707c89,858245858,XAEntity.Cycle.ProductionCycle.LoaderCycle,2020-01-26 17:55:38.0,2020-01-26 18:59:16.0
7ca7c2cb-6b04-4e84-aa3b-b6874bd89a7b,858255944,XAEntity.Cycle.ProductionCycle.LoaderCycle,2020-01-26 18:52:29.0,2020-01-26 18:59:35.0
6f22784c-7039-469d-89db-ecbd3f97ab6b,858256341,XAEntity.Cycle.ProductionCycle.LoaderCycle,2020-01-26 18:55:10.0,2020-01-26 19:00:53.0
228caeeb-dac7-43a1-95c1-705bb4fc5a4e,858254135,XAEntity.Cycle.ProductionCycle.TruckCycle,2020-01-26 18:43:21.0,2020-01-26 19:00:56.0
64ef7a2b-c1aa-4778-a397-932dfcc61970,858254549,XAEntity.Cycle.ProductionCycle.TruckCycle,2020-01-26 18:44:19.0,2020-01-26 19:00:59.0
e5fa364a-163d-4633-97e4-b7096aeec9a1,858256586,XAEntity.Cycle.ProductionCycle.LoaderCycle,2020-01-26 18:55:09.0,2020-01-26 19:01:36.0
b8cf1cc6-d59b-4472-9c5a-9f37e92ae197,858257034,XAEntity.Cycle.ProductionCycle.LoaderCycle,2020-01-26 18:59:35.0,2020-01-26 19:03:15.0
6c2f348c-6f1b-44ff-bc3b-3022d9093e37,858246417,XAEntity.Cycle.ProductionCycle.TruckCycle,2020-01-26 17:58:32.0,2020-01-26 19:04:22.0
75e6f36c-fa05-4334-9777-4a7af10643f2,858257371,XAEntity.Cycle.ProductionCycle.LoaderCycle,2020-01-26 19:00:53.0,2020-01-26 19:04:26.0
13e08afb-a528-45a3-befe-1e1260b48156,858257395,XAEntity.Cycle.ProductionCycle.LoaderCycle,2020-01-26 19:01:36.0,2020-01-26 19:04:28.0
cdc1ea51-3e5b-49d5-a7e6-5f5975021f3d,858257651,XAEntity.Cycle.ProductionCycle.LoaderCycle,2020-01-26 18:59:16.0,2020-01-26 19:05:41.0
beead1c2-d2c5-4790-adc5-8745116487a0,858254920,XAEntity.Cycle.ProductionCycle.TruckCycle,2020-01-26 18:46:00.0,2020-01-26 19:06:49.0
fef11e09-77eb-479a-9cb3-d7432a7cec4c,858257863,XAEntity.Cycle.ProductionCycle.LoaderCycle,2020-01-26 19:03:15.0,2020-01-26 19:06:54.0
91633108-5223-4411-894c-42314fbfcfe7,858257901,XAEntity.Cycle.ProductionCycle.LoaderCycle,2020-01-26 19:04:26.0,2020-01-26 19:07:04.0
7906fd00-a089-4841-809b-85410f3d95e3,858258131,XAEntity.Cycle.ProductionCycle.LoaderCycle,2020-01-26 19:04:28.0,2020-01-26 19:07:42.0
b719a785-88d5-4e0f-a979-176dc930118e,858255901,XAEntity.Cycle.ProductionCycle.TruckCycle,2020-01-26 18:49:25.0,2020-01-26 19:08:29.0
6f06dfde-f2ef-42a9-a691-ba936c8887d2,858243648,XAEntity.Cycle.ProductionCycle.TruckCycle,2020-01-26 17:46:30.0,2020-01-26 19:08:32.0
dc843d32-2118-4bcd-ad3f-65f26884e047,858258536,XAEntity.Cycle.ProductionCycle.LoaderCycle,2020-01-26 19:07:04.0,2020-01-26 19:09:41.0
da07b057-8fd0-48ba-8e59-4a02b183ef89,858258548,XAEntity.Cycle.ProductionCycle.LoaderCycle,2020-01-26 19:06:54.0,2020-01-26 19:10:03.0
fbd5aa0c-acde-451f-bf2b-413af58a2cee,858255968,XAEntity.Cycle.ProductionCycle.TruckCycle,2020-01-26 18:49:42.0,2020-01-26 19:10:37.0
3167d547-c499-4bf1-918a-e4d8644e86ab,858247288,XAEntity.Cycle.ProductionCycle.TruckCycle,2020-01-26 18:03:53.0,2020-01-26 19:10:43.0
7556b3d7-7e0f-4e74-a520-e9231e5ce7cf,858258738,XAEntity.Cycle.ProductionCycle.LoaderCycle,2020-01-26 19:05:41.0,2020-01-26 19:10:50.0
3825059e-1d39-447f-a6e3-677db7a0e6af,858258774,XAEntity.Cycle.ProductionCycle.LoaderCycle,2020-01-26 19:07:42.0,2020-01-26 19:11:01.0
daacd708-86a8-435b-a401-772746e9d13c,858247089,XAEntity.Cycle.ProductionCycle.LoaderCycle,2020-01-26 18:02:20.0,2020-01-26 19:11:08.0
0cc1c33f-c2b0-47a3-9374-1e652160b415,858259026,XAEntity.Cycle.ProductionCycle.LoaderCycle,2020-01-26 19:09:41.0,2020-01-26 19:12:06.0
6b22b043-c9a7-4f39-9f06-0d7f2ae5fa8c,858257388,XAEntity.Cycle.ProductionCycle.TruckCycle,2020-01-26 18:54:27.0,2020-01-26 19:12:36.0
4277fea8-a619-4715-a4fa-5b11f832988f,858256703,XAEntity.Cycle.ProductionCycle.TruckCycle,2020-01-26 18:52:09.0,2020-01-26 19:13:22.0
1153d32b-117f-4bc5-9085-d1f5324e157e,858246257,XAEntity.Cycle.ProductionCycle.TruckCycle,2020-01-26 17:57:33.0,2020-01-26 19:14:18.0
efd782a0-482f-4a69-a8bf-aee49521b8a9,858247292,XAEntity.Cycle.ProductionCycle.TruckCycle,2020-01-26 18:03:55.0,2020-01-26 19:14:27.0
824b330d-d916-4551-8c1d-65fd07e7381a,858259638,XAEntity.Cycle.ProductionCycle.LoaderCycle,2020-01-26 19:12:06.0,2020-01-26 19:14:39.0
56e2052f-0fd3-4b41-a880-31538d0715c4,858259541,XAEntity.Cycle.ProductionCycle.LoaderCycle,2020-01-26 19:11:08.0,2020-01-26 19:14:46.0
1979d190-eb3c-4aae-8066-621e1cda6c32,858259696,XAEntity.Cycle.ProductionCycle.LoaderCycle,2020-01-26 19:11:01.0,2020-01-26 19:15:04.0
99d8752e-35d2-4ab5-b29f-32c7ed692c04,858257987,XAEntity.Cycle.ProductionCycle.TruckCycle,2020-01-26 18:57:25.0,2020-01-26 19:15:11.0
c888156e-cf8c-4cba-914f-8706fd7433fc,858259854,XAEntity.Cycle.AuxiliaryCycle.AuxMobileCycle,2020-01-26 16:55:09.0,2020-01-26 19:15:47.0
0ce3e3c4-8eac-48e5-a0d1-cd95457c4586,858257670,XAEntity.Cycle.ProductionCycle.TruckCycle,2020-01-26 18:55:48.0,2020-01-26 19:16:23.0
6274f06c-2f74-4341-964e-77e4c10e99b0,858248155,XAEntity.Cycle.ProductionCycle.TruckCycle,2020-01-26 18:09:54.0,2020-01-26 19:16:46.0
f54281e0-0a40-44c6-9a86-fe7d5e447155,858260257,XAEntity.Cycle.ProductionCycle.LoaderCycle,2020-01-26 19:10:03.0,2020-01-26 19:18:09.0
5986f11b-4ad4-4342-9b4e-6e710ad4523e,858260284,XAEntity.Cycle.ProductionCycle.LoaderCycle,2020-01-26 19:14:46.0,2020-01-26 19:18:14.0
e6493650-1fd1-4174-8369-6e0020999cc8,858258746,XAEntity.Cycle.ProductionCycle.TruckCycle,2020-01-26 19:00:56.0,2020-01-26 19:18:33.0
b92e4aed-23b2-420b-bc54-3fa08956faab,858260436,XAEntity.Cycle.ProductionCycle.LoaderCycle,2020-01-26 19:15:04.0,2020-01-26 19:19:02.0
fb02d011-e7a8-4a9e-a188-6bad1e62c6b7,858258278,XAEntity.Cycle.ProductionCycle.TruckCycle,2020-01-26 18:58:53.0,2020-01-26 19:19:05.0
1799d4d2-583b-4198-840d-34d37b27eed0,858260519,XAEntity.Cycle.ProductionCycle.LoaderCycle,2020-01-26 19:10:50.0,2020-01-26 19:19:14.0
8b7e4a01-8949-4e09-b02e-6512984578cf,858248302,XAEntity.Cycle.ProductionCycle.TruckCycle,2020-01-26 18:11:26.0,2020-01-26 19:19:29.0
7da4611e-3466-4d7f-a249-ca7e6517dcbf,858260609,XAEntity.Cycle.ProductionCycle.LoaderCycle,2020-01-26 19:14:39.0,2020-01-26 19:19:34.0
d624c4ae-d3ea-469b-b8bc-b63d66206692,858259434,XAEntity.Cycle.ProductionCycle.TruckCycle,2020-01-26 19:04:22.0,2020-01-26 19:21:26.0
bd21e407-4451-4191-afd8-f583b407c873,858260988,XAEntity.Cycle.AuxiliaryCycle.AuxMobileCycle.DrillCycle,2020-01-26 18:57:48.0,2020-01-26 19:21:35.0
929baed7-35cb-4333-b444-e48fee33d33f,858247951,XAEntity.Cycle.ProductionCycle.TruckCycle,2020-01-26 18:08:29.0,2020-01-26 19:21:59.0
c40d2939-2355-4309-a42f-40390ea10f33,858261051,XAEntity.Cycle.ProductionCycle.LoaderCycle,2020-01-26 19:19:02.0,2020-01-26 19:22:01.0
8d1c74ca-5d9b-4523-976b-7da3513f66bc,858261060,XAEntity.Cycle.ProductionCycle.LoaderCycle,2020-01-26 19:19:34.0,2020-01-26 19:22:04.0
3ac006ce-abd8-4df2-af27-8a5a849080f0,858261095,XAEntity.Cycle.ProductionCycle.LoaderCycle,2020-01-26 19:18:09.0,2020-01-26 19:22:12.0
2328a182-e95d-45fb-8744-ce20da6a1b12,858261371,XAEntity.Cycle.AuxiliaryCycle.AuxMobileCycle.DrillCycle,2020-01-26 18:56:23.0,2020-01-26 19:22:35.0
14618760-6a2a-4ea0-a277-38f43d53a3bd,858260343,XAEntity.Cycle.ProductionCycle.TruckCycle,2020-01-26 19:08:32.0,2020-01-26 19:22:41.0
e6783267-119c-4342-b20b-eedfff75c901,858258863,XAEntity.Cycle.ProductionCycle.TruckCycle,2020-01-26 19:00:59.0,2020-01-26 19:23:02.0
7ecd4402-fb7a-46c5-8996-c5a7080c7e35,858245921,XAEntity.Cycle.ProductionCycle.TruckCycle,2020-01-26 17:55:40.0,2020-01-26 19:24:00.0
b92287a6-7a90-4988-8958-bf417ce19d84,858261805,XAEntity.Cycle.ProductionCycle.LoaderCycle,2020-01-26 19:22:04.0,2020-01-26 19:24:45.0
141beec2-fd32-48b3-81bc-b1ac5043237b,858247716,XAEntity.Cycle.ProductionCycle.TruckCycle,2020-01-26 18:06:21.0,2020-01-26 19:24:58.0
9ea1aac3-88c5-475e-b437-6ad75e317960,858261891,XAEntity.Cycle.ProductionCycle.LoaderCycle,2020-01-26 19:22:01.0,2020-01-26 19:25:07.0
801bbb29-5102-4339-a53d-16f10d670ee6,858262030,XAEntity.Cycle.ProductionCycle.LoaderCycle,2020-01-26 19:18:14.0,2020-01-26 19:25:33.0
06a1ed58-f5cd-4310-b8b8-bf76a82c7821,858262269,XAEntity.Cycle.ProductionCycle.LoaderCycle,2020-01-26 19:22:12.0,2020-01-26 19:26:19.0
32f8ad59-d7d3-421a-b620-0cb4bce926cc,858262367,XAEntity.Cycle.ProductionCycle.LoaderCycle,2020-01-26 19:19:14.0,2020-01-26 19:26:40.0
6a29d11f-6f63-4c25-9b99-4e76107a292e,858262480,XAEntity.Cycle.AuxiliaryCycle.AuxMobileCycle.DrillCycle,2020-01-26 15:43:42.0,2020-01-26 19:27:35.0
7529b241-030d-4517-a3aa-9d5a60218708,858260326,XAEntity.Cycle.ProductionCycle.TruckCycle,2020-01-26 19:08:29.0,2020-01-26 19:27:41.0
0d08e40a-6d73-4936-8ab1-34f04eeeb228,858260041,XAEntity.Cycle.ProductionCycle.TruckCycle,2020-01-26 19:06:49.0,2020-01-26 19:27:42.0
1f368e7a-8776-43c2-8645-112f2bef695f,858262597,XAEntity.Cycle.ProductionCycle.LoaderCycle,2020-01-26 19:24:45.0,2020-01-26 19:27:45.0
3b90dd1a-1654-47d5-8330-b8b04d20ee36,858246712,XAEntity.Cycle.ProductionCycle.TruckCycle,2020-01-26 18:00:18.0,2020-01-26 19:28:44.0
ff132655-95bd-40be-b4d1-fa5d35f5fdaa,858262889,XAEntity.Cycle.ProductionCycle.LoaderCycle,2020-01-26 19:25:33.0,2020-01-26 19:30:00.0
ee5618de-1768-4f27-b5bf-b3666bd4ef36,858262916,XAEntity.Cycle.ProductionCycle.LoaderCycle,2020-01-26 19:25:07.0,2020-01-26 19:30:06.0
a66f9e41-0d47-4e95-bc31-1f70ea49ed63,858261718,XAEntity.Cycle.ProductionCycle.TruckCycle,2020-01-26 19:14:18.0,2020-01-26 19:30:10.0
0a8523fd-df57-4b1a-b483-5b60f8aea2e1,858263018,XAEntity.Cycle.ProductionCycle.LoaderCycle,2020-01-26 19:27:45.0,2020-01-26 19:30:23.0
4e962f6c-b6b1-408b-b49a-c94dec46bd20,858263044,XAEntity.Cycle.ProductionCycle.LoaderCycle,2020-01-26 19:26:19.0,2020-01-26 19:30:29.0
d957f4e5-382d-432e-9a32-b643b75c5143,858248617,XAEntity.Cycle.ProductionCycle.TruckCycle,2020-01-26 18:13:27.0,2020-01-26 19:30:47.0
1073ac4f-c2ea-4956-9292-4b6496b4e578,858260792,XAEntity.Cycle.ProductionCycle.TruckCycle,2020-01-26 19:10:37.0,2020-01-26 19:30:47.0
074e41b7-52c0-4aa3-a1c5-ad7169e65abd,858261300,XAEntity.Cycle.ProductionCycle.TruckCycle,2020-01-26 19:12:36.0,2020-01-26 19:31:49.0
437b69cf-4901-4383-bdf1-f3efde8f0aa4,858260805,XAEntity.Cycle.ProductionCycle.TruckCycle,2020-01-26 19:10:43.0,2020-01-26 19:32:29.0
fe657907-d268-42a3-b8ce-185c4317ffa1,858263516,XAEntity.Cycle.ProductionCycle.LoaderCycle,2020-01-26 19:30:23.0,2020-01-26 19:33:07.0
195c8e24-4bc6-4b5e-bf57-1ebecb9da6c0,858263611,XAEntity.Cycle.ProductionCycle.LoaderCycle,2020-01-26 19:26:40.0,2020-01-26 19:33:20.0
31e22fb9-3b61-429d-a665-8badd90a1b15,858263703,XAEntity.Cycle.ProductionCycle.LoaderCycle,2020-01-26 19:30:00.0,2020-01-26 19:33:41.0
91eb89b1-f86a-4d5d-8e81-2255d57b133a,858263758,XAEntity.Cycle.ProductionCycle.LoaderCycle,2020-01-26 19:30:06.0,2020-01-26 19:33:46.0
b823f1e0-8272-4cb0-8f53-902a4d430a4b,858261521,XAEntity.Cycle.ProductionCycle.TruckCycle,2020-01-26 19:13:22.0,2020-01-26 19:33:55.0
7a0ac6ad-126f-4808-b386-9992d598bf1a,858261913,XAEntity.Cycle.ProductionCycle.TruckCycle,2020-01-26 19:15:11.0,2020-01-26 19:34:24.0
041c44bd-2a2b-4b15-af2a-e204a5ccf6a5,858261738,XAEntity.Cycle.ProductionCycle.TruckCycle,2020-01-26 19:14:27.0,2020-01-26 19:35:27.0
e2f62b34-7cd8-41ed-aa92-b29a17285ba8,858264148,XAEntity.Cycle.ProductionCycle.LoaderCycle,2020-01-26 19:33:46.0,2020-01-26 19:35:48.0
c676a4a3-76e9-45f9-8465-d9e13b4144c0,858264209,XAEntity.Cycle.ProductionCycle.LoaderCycle,2020-01-26 19:33:07.0,2020-01-26 19:36:01.0
59d22d70-8790-4d43-924c-2687bcb3fb87,858264315,XAEntity.Cycle.ProductionCycle.LoaderCycle,2020-01-26 19:30:29.0,2020-01-26 19:36:31.0
fd745b09-c1dd-4e04-aaf7-71188af0e702,858262308,XAEntity.Cycle.ProductionCycle.TruckCycle,2020-01-26 19:16:46.0,2020-01-26 19:36:38.0
6ea85cca-3d60-44b6-9898-7f4e14727d5b,858263452,XAEntity.Cycle.ProductionCycle.TruckCycle,2020-01-26 19:22:41.0,2020-01-26 19:36:51.0
56d06077-7ac7-4c89-a45c-fd47030e96ea,858262809,XAEntity.Cycle.ProductionCycle.TruckCycle,2020-01-26 19:19:29.0,2020-01-26 19:37:01.0
5847e84f-ac3d-4968-8d67-f295257dfca1,858264457,XAEntity.Cycle.ProductionCycle.LoaderCycle,2020-01-26 19:33:41.0,2020-01-26 19:37:07.0
93247b11-c82f-40dc-954f-9f5648271349,858264562,XAEntity.Cycle.ProductionCycle.LoaderCycle,2020-01-26 19:35:48.0,2020-01-26 19:37:43.0
f2e922a5-4556-495a-8472-c81d29d135dc,858262188,XAEntity.Cycle.ProductionCycle.TruckCycle,2020-01-26 19:16:23.0,2020-01-26 19:38:38.0
